language,length_bin,accuracy,precision,recall,macro_f1,weighted_f1,machine_support,false_negatives,false_negative_rate,support
__all__,5-9,0.49074074074074076,0.0,0.0,0.32919254658385094,0.3230963883137796,55,55,1.0,108
__all__,10-19,0.5,1.0,0.011235955056179775,0.3431721798134012,0.3395250212044105,89,88,0.9887640449438202,176
__all__,20-39,0.4853801169590643,1.0,0.011235955056179775,0.33650793650793653,0.3236424394319131,89,88,0.9887640449438202,171
__all__,40-79,0.5210084033613446,0.0,0.0,0.3425414364640884,0.35693393379451227,57,57,1.0,119
__all__,80+,0.6153846153846154,0.0,0.0,0.38095238095238093,0.46886446886446886,10,10,1.0,26
afr,5-9,0.4857142857142857,0.0,0.0,0.3269230769230769,0.31758241758241756,18,18,1.0,35
afr,10-19,0.5094339622641509,0.0,0.0,0.3375,0.3438679245283019,26,26,1.0,53
afr,20-39,0.4727272727272727,0.0,0.0,0.32098765432098764,0.30347923681257016,29,29,1.0,55
afr,40-79,0.5227272727272727,0.0,0.0,0.34328358208955223,0.35888738127544095,21,21,1.0,44
afr,80+,0.5384615384615384,0.0,0.0,0.35,0.37692307692307686,6,6,1.0,13
eng,5-9,0.47619047619047616,0.0,0.0,0.3225806451612903,0.3072196620583717,11,11,1.0,21
eng,10-19,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,21,21,1.0,42
eng,20-39,0.4647887323943662,1.0,0.02564102564102564,0.33872549019607845,0.31025959679646503,39,38,0.9743589743589743,71
eng,40-79,0.5283018867924528,0.0,0.0,0.345679012345679,0.36524574889354766,25,25,1.0,53
eng,80+,0.6923076923076923,0.0,0.0,0.4090909090909091,0.5664335664335665,4,4,1.0,13
zul,5-9,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,26,26,1.0,52
zul,10-19,0.49382716049382713,1.0,0.023809523809523808,0.35098690639046315,0.33971004422440815,42,41,0.9761904761904762,81
zul,20-39,0.5333333333333333,0.0,0.0,0.34782608695652173,0.3710144927536232,21,21,1.0,45
zul,40-79,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,11,11,1.0,22
