language,length_bin,accuracy,precision,recall,macro_f1,weighted_f1,machine_support,false_negatives,false_negative_rate,support
__all__,10-19,0.4936708860759494,1.0,0.024390243902439025,0.35139573070607555,0.3398599072977074,41,40,0.975609756097561,79
__all__,20-39,0.47953216374269003,0.0,0.0,0.3241106719367589,0.31084298361186236,89,89,1.0,171
__all__,40-79,0.5210084033613446,0.0,0.0,0.3425414364640884,0.35693393379451227,57,57,1.0,119
__all__,80+,0.6153846153846154,0.0,0.0,0.38095238095238093,0.46886446886446886,10,10,1.0,26
afr,10-19,0.5217391304347826,0.0,0.0,0.34285714285714286,0.35776397515527947,11,11,1.0,23
afr,20-39,0.4727272727272727,0.0,0.0,0.32098765432098764,0.30347923681257016,29,29,1.0,55
afr,40-79,0.5227272727272727,0.0,0.0,0.34328358208955223,0.35888738127544095,21,21,1.0,44
afr,80+,0.5384615384615384,0.0,0.0,0.35,0.37692307692307686,6,6,1.0,13
eng,10-19,0.42105263157894735,0.0,0.0,0.2962962962962963,0.24951267056530213,11,11,1.0,19
eng,20-39,0.4507042253521127,0.0,0.0,0.3106796116504854,0.28004922740325444,39,39,1.0,71
eng,40-79,0.5283018867924528,0.0,0.0,0.345679012345679,0.36524574889354766,25,25,1.0,53
eng,80+,0.6923076923076923,0.0,0.0,0.4090909090909091,0.5664335664335665,4,4,1.0,13
zul,10-19,0.5135135135135135,1.0,0.05263157894736842,0.3833333333333333,0.37567567567567567,19,18,0.9473684210526315,37
zul,20-39,0.5333333333333333,0.0,0.0,0.34782608695652173,0.3710144927536232,21,21,1.0,45
zul,40-79,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,11,11,1.0,22
